Período;Região;Entidade;Número de Novos Registos
2021-05-05;ARS Alentejo;ACES Baixo Alentejo;4
2021-05-08;ARS Alentejo;ACES Baixo Alentejo;3
2021-04-29;ARS Alentejo;ACES São Mamede;4
2021-04-30;ARS Alentejo;ACES São Mamede;4
2021-05-03;ARS Alentejo;ACES São Mamede;3
2021-05-06;ARS Alentejo;ACES São Mamede;5
2021-04-26;ARS Algarve;ACES Algarve I - Algarve Central;54
2021-04-28;ARS Algarve;ACES Algarve I - Algarve Central;46
2021-05-01;ARS Algarve;ACES Algarve I - Algarve Central;15
2021-05-02;ARS Algarve;ACES Algarve I - Algarve Central;18
2021-05-04;ARS Algarve;ACES Algarve I - Algarve Central;30
2021-05-10;ARS Algarve;ACES Algarve I - Algarve Central;49
2021-05-01;ARS Algarve;ACES Algarve II - Algarve Barlavento;11
2021-05-02;ARS Algarve;ACES Algarve II - Algarve Barlavento;10
2021-05-04;ARS Algarve;ACES Algarve II - Algarve Barlavento;23
2021-05-07;ARS Algarve;ACES Algarve II - Algarve Barlavento;17
2021-05-08;ARS Algarve;ACES Algarve II - Algarve Barlavento;20
2021-04-26;ARS Algarve;ACES Algarve III - Algarve Sotavento;7
2021-04-30;ARS Algarve;ACES Algarve III - Algarve Sotavento;5
2021-05-03;ARS Algarve;ACES Algarve III - Algarve Sotavento;2
2021-05-05;ARS Algarve;ACES Algarve III - Algarve Sotavento;12
2021-05-06;ARS Algarve;ACES Algarve III - Algarve Sotavento;9
2021-05-09;ARS Algarve;ACES Algarve III - Algarve Sotavento;7
2021-04-26;ARS Centro;ACES Baixo Mondego;47
2021-04-30;ARS Centro;ACES Baixo Mondego;54
2021-04-27;ARS Centro;ACES Baixo Vouga;52
2021-04-27;ARS Centro;ACES Beira Interior Sul;6
2021-04-30;ARS Centro;ACES Beira Interior Sul;22
2021-05-07;ARS Centro;ACES Beira Interior Sul;10
2021-05-05;ARS Centro;ACES Cova da Beira;6
2021-04-26;ARS Centro;ACES Dão Lafões;35
2021-05-04;ARS Centro;ACES Dão Lafões;25
2021-05-05;ARS Centro;ACES Dão Lafões;21
2021-05-08;ARS Centro;ACES Dão Lafões;7
2021-05-10;ARS Centro;ACES Dão Lafões;21
2021-04-26;ARS Centro;ACES Guarda;19
2021-04-28;ARS Centro;ACES Guarda;12
2021-05-04;ARS Centro;ACES Guarda;10
2021-05-05;ARS Centro;ACES Guarda;12
2021-04-27;ARS Centro;ACES Pinhal Interior Norte;14
2021-04-29;ARS Centro;ACES Pinhal Interior Norte;15
2021-05-10;ARS Centro;ACES Pinhal Interior Norte;9
2021-04-29;ARS Centro;ACES Pinhal Interior Sul;5
2021-04-30;ARS Centro;ACES Pinhal Interior Sul;2
2021-05-02;ARS Centro;ACES Pinhal Interior Sul;1
2021-05-07;ARS Centro;ACES Pinhal Interior Sul;2
2021-05-09;ARS Centro;ACES Pinhal Interior Sul;2
2021-04-30;ARS Centro;ACES Pinhal Litoral;24
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;78
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;71
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;40
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;22
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;75
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Amadora;8
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Amadora;19
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Amadora;23
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;40
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;19
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;28
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;36
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Arrábida;30
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Arrábida;27
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Arrábida;21
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Cascais;31
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Cascais;17
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Cascais;37
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Cascais;33
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Cascais;27
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;30
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;36
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;28
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Lezíria;37
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Lezíria;18
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Lezíria;13
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Lezíria;17
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;92
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;26
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;36
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;64
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;33
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;27
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;27
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;52
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;57
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;14
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;69
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;49
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;58
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;25
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;31
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Médio Tejo;28
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Médio Tejo;14
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Médio Tejo;12
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;24
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;4
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;6
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;9
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;26
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Sintra;85
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Sintra;63
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Sintra;77
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Sintra;56
2021-05-05;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;21
2021-05-07;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;19
2021-05-09;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;16
2021-05-10;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;33
2021-04-27;ARS Norte;ACES Alto Minho;16
2021-05-05;ARS Norte;ACES Alto Minho;20
2021-05-07;ARS Norte;ACES Alto Minho;16
2021-04-29;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;3
2021-05-04;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;7
2021-05-05;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;12
2021-05-09;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;7
2021-04-29;ARS Norte;ACES Ave / Famalicão;12
2021-05-01;ARS Norte;ACES Ave / Famalicão;2
2021-05-03;ARS Norte;ACES Ave / Famalicão;10
2021-04-28;ARS Norte;ACES Cávado I - Braga;46
2021-04-29;ARS Norte;ACES Cávado I - Braga;39
2021-05-04;ARS Norte;ACES Cávado I - Braga;56
2021-04-28;ARS Norte;ACES Cávado II - Gerês / Cabreira;11
2021-04-30;ARS Norte;ACES Cávado II - Gerês / Cabreira;9
2021-05-01;ARS Norte;ACES Cávado II - Gerês / Cabreira;9
2021-04-27;ARS Norte;ACES Cávado III - Barcelos / Esposende;9
2021-05-06;ARS Norte;ACES Cávado III - Barcelos / Esposende;8
2021-05-09;ARS Norte;ACES Cávado III - Barcelos / Esposende;20
2021-04-30;ARS Norte;ACES Douro I - Marão e Douro Norte;7
2021-05-02;ARS Norte;ACES Douro I - Marão e Douro Norte;3
2021-04-26;ARS Norte;ACES Douro II - Douro Sul;4
2021-04-30;ARS Norte;ACES Douro II - Douro Sul;5
2021-05-04;ARS Norte;ACES Douro II - Douro Sul;8
2021-05-07;ARS Norte;ACES Douro II - Douro Sul;5
2021-04-29;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;9
2021-05-03;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;14
2021-05-06;ARS Norte;ACES Entre Douro e Vouga II - Aveiro Norte;5
2021-05-07;ARS Norte;ACES Grande Porto I - Santo Tirso / Trofa;10
2021-04-28;ARS Norte;ACES Grande Porto II - Gondomar;19
2021-05-02;ARS Norte;ACES Grande Porto III - Maia / Valongo;12
2021-05-07;ARS Norte;ACES Grande Porto III - Maia / Valongo;16
2021-05-10;ARS Norte;ACES Grande Porto III - Maia / Valongo;44
2021-05-06;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;11
2021-04-26;ARS Norte;ACES Grande Porto V - Porto Ocidental;31
2021-04-27;ARS Norte;ACES Grande Porto V - Porto Ocidental;32
2021-05-07;ARS Norte;ACES Grande Porto V - Porto Ocidental;31
2021-05-08;ARS Norte;ACES Grande Porto V - Porto Ocidental;10
2021-04-30;ARS Norte;ACES Grande Porto VI - Porto Oriental;14
2021-05-03;ARS Norte;ACES Grande Porto VI - Porto Oriental;13
2021-04-26;ARS Norte;ACES Grande Porto VII - Gaia;24
2021-04-29;ARS Norte;ACES Grande Porto VII - Gaia;25
2021-05-01;ARS Norte;ACES Grande Porto VII - Gaia;19
2021-05-06;ARS Norte;ACES Grande Porto VII - Gaia;20
2021-05-07;ARS Norte;ACES Grande Porto VII - Gaia;13
2021-04-27;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;21
2021-04-30;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;22
2021-05-07;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;14
2021-04-29;ARS Norte;ACES Tâmega I - Baixo Tâmega;9
2021-05-04;ARS Norte;ACES Tâmega I - Baixo Tâmega;14
2021-05-08;ARS Norte;ACES Tâmega I - Baixo Tâmega;3
2021-04-28;ARS Norte;ACES Tâmega II - Vale do Sousa Sul;13
2021-05-03;ARS Norte;ACES Tâmega II - Vale do Sousa Sul;15
2021-05-10;ARS Norte;ACES Tâmega II - Vale do Sousa Sul;22
2021-05-01;ARS Norte;ACES Tâmega III - Vale do Sousa Norte;13
2021-05-10;ARS Norte;ACES Tâmega III - Vale do Sousa Norte;14
2021-05-01;ARS Norte;Grupo | Postos Empresa | ARSN;1
2021-05-05;IASAÚDE Madeira;Centro de Saúde Dr. Francisco Rodrigues Jardim (ACES Madeira);1
2021-04-27;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);4
2021-04-28;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-05-04;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);2
2021-05-05;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);3
2021-05-08;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-04-28;IASAÚDE Madeira;Centro de Saúde Zona Oeste (ACES Madeira);3
2021-05-01;IASAÚDE Madeira;Centro de Saúde de Câmara de Lobos (ACES Madeira);1
2021-05-09;IASAÚDE Madeira;Centro de Saúde de Câmara de Lobos (ACES Madeira);1
2021-04-28;IASAÚDE Madeira;Centro de Saúde de Santa Cruz (ACES Madeira);4
2021-05-09;IASAÚDE Madeira;Centro de Saúde de Santa Cruz (ACES Madeira);1
2021-04-26;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);4
2021-04-30;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);3
2021-05-05;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);1
2021-04-26;IASAÚDE Madeira;Centro de Saúde do Funchal Zona II (ACES Madeira);4
2021-05-07;IASAÚDE Madeira;Centro de Saúde do Funchal Zona II (ACES Madeira);4
2021-04-28;Madeira;Madeira;16
2021-05-01;Madeira;Madeira;5
2021-04-26;SRS Açores;Unidade de Saúde da Ilha Terceira;2
2021-04-28;SRS Açores;Unidade de Saúde da Ilha Terceira;6
2021-04-30;SRS Açores;Unidade de Saúde da Ilha Terceira;3
2021-05-04;SRS Açores;Unidade de Saúde da Ilha Terceira;5
2021-05-01;SRS Açores;Unidade de Saúde da Ilha de São Miguel;3
2021-05-02;SRS Açores;Unidade de Saúde da Ilha de São Miguel;3
2021-05-06;SRS Açores;Unidade de Saúde da Ilha do Faial;1
2021-05-05;SRS Açores;Unidade de Saúde da Ilha do Pico;1
2021-04-27;ARS Alentejo;ACES Alentejo Central;16
2021-04-28;ARS Alentejo;ACES Alentejo Central;22
2021-04-30;ARS Alentejo;ACES Alentejo Central;9
2021-05-04;ARS Alentejo;ACES Alentejo Central;18
2021-05-09;ARS Alentejo;ACES Alentejo Central;4
2021-04-27;ARS Alentejo;ACES Alentejo Litoral;13
2021-04-29;ARS Alentejo;ACES Alentejo Litoral;10
2021-04-30;ARS Alentejo;ACES Alentejo Litoral;2
2021-05-01;ARS Alentejo;ACES Alentejo Litoral;1
2021-05-02;ARS Alentejo;ACES Alentejo Litoral;2
2021-05-08;ARS Alentejo;ACES Alentejo Litoral;5
2021-04-27;ARS Alentejo;ACES Baixo Alentejo;7
2021-05-03;ARS Alentejo;ACES Baixo Alentejo;6
2021-05-07;ARS Alentejo;ACES São Mamede;2
2021-04-30;ARS Algarve;ACES Algarve I - Algarve Central;32
2021-05-07;ARS Algarve;ACES Algarve I - Algarve Central;28
2021-04-26;ARS Algarve;ACES Algarve II - Algarve Barlavento;48
2021-04-28;ARS Algarve;ACES Algarve II - Algarve Barlavento;38
2021-05-03;ARS Algarve;ACES Algarve II - Algarve Barlavento;21
2021-05-10;ARS Algarve;ACES Algarve II - Algarve Barlavento;38
2021-05-07;ARS Algarve;ACES Algarve III - Algarve Sotavento;2
2021-05-10;ARS Algarve;ACES Algarve III - Algarve Sotavento;12
2021-04-27;ARS Centro;ACES Baixo Mondego;56
2021-05-03;ARS Centro;ACES Baixo Mondego;41
2021-05-07;ARS Centro;ACES Baixo Mondego;36
2021-05-09;ARS Centro;ACES Baixo Mondego;45
2021-04-30;ARS Centro;ACES Baixo Vouga;28
2021-05-06;ARS Centro;ACES Baixo Vouga;43
2021-05-10;ARS Centro;ACES Baixo Vouga;39
2021-05-01;ARS Centro;ACES Beira Interior Sul;7
2021-05-02;ARS Centro;ACES Beira Interior Sul;4
2021-05-03;ARS Centro;ACES Beira Interior Sul;12
2021-05-04;ARS Centro;ACES Beira Interior Sul;11
2021-04-28;ARS Centro;ACES Cova da Beira;19
2021-05-03;ARS Centro;ACES Cova da Beira;5
2021-05-04;ARS Centro;ACES Cova da Beira;14
2021-04-30;ARS Centro;ACES Dão Lafões;21
2021-05-02;ARS Centro;ACES Dão Lafões;8
2021-05-03;ARS Centro;ACES Dão Lafões;35
2021-05-07;ARS Centro;ACES Dão Lafões;14
2021-05-09;ARS Centro;ACES Dão Lafões;18
2021-05-09;ARS Centro;ACES Guarda;10
2021-04-27;ARS Centro;ACES Pinhal Interior Sul;3
2021-05-05;ARS Centro;ACES Pinhal Interior Sul;1
2021-05-01;ARS Centro;ACES Pinhal Litoral;11
2021-05-03;ARS Centro;ACES Pinhal Litoral;20
2021-05-09;ARS Centro;ACES Pinhal Litoral;10
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Amadora;48
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Amadora;23
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Amadora;19
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Amadora;24
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Amadora;16
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;22
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;34
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Arrábida;32
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Arrábida;37
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Arrábida;13
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Arrábida;14
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Arrábida;20
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Arrábida;37
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Cascais;41
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Cascais;57
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Cascais;45
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Cascais;45
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;30
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;29
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;35
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;21
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;14
2021-05-08;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;14
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Lezíria;22
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Lezíria;5
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Lezíria;15
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Lezíria;12
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Lezíria;29
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;77
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;53
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;80
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Lisboa Central;38
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;82
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;26
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;72
2021-05-04;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;61
2021-05-06;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;67
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Lisboa Norte;33
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;35
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;57
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Loures / Odivelas;56
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Médio Tejo;23
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Médio Tejo;16
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;14
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;24
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Oeste Norte;12
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;33
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;35
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;23
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Oeste Sul;14
2021-04-27;ARS Lisboa e Vale do Tejo;ACES Sintra;70
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Sintra;72
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Sintra;80
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Sintra;26
2021-04-29;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;25
2021-05-03;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;23
2021-05-06;ARS Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;26
2021-04-28;ARS Norte;ACES Alto Minho;26
2021-05-02;ARS Norte;ACES Alto Minho;18
2021-04-27;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;9
2021-05-05;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;5
2021-05-06;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;5
2021-05-08;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;1
2021-05-09;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;4
2021-05-10;ARS Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;7
2021-04-26;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;6
2021-04-30;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;3
2021-05-03;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;3
2021-05-06;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;15
2021-05-10;ARS Norte;ACES Alto Trás-os-Montes - Nordeste;8
2021-04-26;ARS Norte;ACES Ave / Famalicão;11
2021-04-26;ARS Norte;ACES Cávado I - Braga;37
2021-05-01;ARS Norte;ACES Cávado I - Braga;16
2021-05-07;ARS Norte;ACES Cávado I - Braga;27
2021-04-26;ARS Norte;ACES Cávado II - Gerês / Cabreira;16
2021-04-27;ARS Norte;ACES Cávado II - Gerês / Cabreira;15
2021-05-02;ARS Norte;ACES Cávado II - Gerês / Cabreira;13
2021-05-04;ARS Norte;ACES Cávado II - Gerês / Cabreira;10
2021-05-08;ARS Norte;ACES Cávado II - Gerês / Cabreira;4
2021-04-28;ARS Norte;ACES Cávado III - Barcelos / Esposende;18
2021-05-02;ARS Norte;ACES Cávado III - Barcelos / Esposende;3
2021-05-04;ARS Norte;ACES Cávado III - Barcelos / Esposende;12
2021-05-08;ARS Norte;ACES Cávado III - Barcelos / Esposende;12
2021-04-26;ARS Norte;ACES Douro I - Marão e Douro Norte;6
2021-04-28;ARS Norte;ACES Douro I - Marão e Douro Norte;6
2021-04-29;ARS Norte;ACES Douro I - Marão e Douro Norte;9
2021-05-03;ARS Norte;ACES Douro I - Marão e Douro Norte;6
2021-05-04;ARS Norte;ACES Douro I - Marão e Douro Norte;8
2021-04-28;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;19
2021-05-01;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;5
2021-05-02;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;10
2021-05-05;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;8
2021-05-08;ARS Norte;ACES Entre Douro e Vouga I - Feira e Arouca;4
2021-04-30;ARS Norte;ACES Grande Porto I - Santo Tirso / Trofa;8
2021-04-29;ARS Norte;ACES Grande Porto II - Gondomar;21
2021-04-26;ARS Norte;ACES Grande Porto III - Maia / Valongo;29
2021-05-06;ARS Norte;ACES Grande Porto III - Maia / Valongo;40
2021-05-08;ARS Norte;ACES Grande Porto III - Maia / Valongo;10
2021-04-27;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;17
2021-04-28;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;15
2021-04-30;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;13
2021-05-02;ARS Norte;ACES Grande Porto IV - Póvoa do Varzim / Vila do Conde;4
2021-04-28;ARS Norte;ACES Grande Porto V - Porto Ocidental;28
2021-05-01;ARS Norte;ACES Grande Porto V - Porto Ocidental;17
2021-05-04;ARS Norte;ACES Grande Porto V - Porto Ocidental;25
2021-05-05;ARS Norte;ACES Grande Porto V - Porto Ocidental;38
2021-05-09;ARS Norte;ACES Grande Porto V - Porto Ocidental;26
2021-04-26;ARS Norte;ACES Grande Porto VI - Porto Oriental;28
2021-04-29;ARS Norte;ACES Grande Porto VI - Porto Oriental;26
2021-05-05;ARS Norte;ACES Grande Porto VI - Porto Oriental;22
2021-05-07;ARS Norte;ACES Grande Porto VI - Porto Oriental;11
2021-05-04;ARS Norte;ACES Grande Porto VII - Gaia;18
2021-05-09;ARS Norte;ACES Grande Porto VII - Gaia;26
2021-04-26;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;23
2021-04-29;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;12
2021-05-01;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;13
2021-05-02;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;12
2021-05-05;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;18
2021-05-10;ARS Norte;ACES Grande Porto VIII - Espinho / Gaia;23
2021-04-29;ARS Norte;ACES Matosinhos;15
2021-05-05;ARS Norte;ACES Matosinhos;20
2021-05-08;ARS Norte;ACES Matosinhos;13
2021-05-01;ARS Norte;ACES Tâmega I - Baixo Tâmega;8
2021-05-07;ARS Norte;ACES Tâmega II - Vale do Sousa Sul;7
2021-04-30;ARS Norte;ACES Tâmega III - Vale do Sousa Norte;16
2021-05-02;ARS Norte;ACES Tâmega III - Vale do Sousa Norte;4
2021-05-08;ARS Norte;ACES Tâmega III - Vale do Sousa Norte;2
2021-05-02;ARS Norte;Grupo | Postos Empresa | ARSN;1
2021-05-03;ARS Norte;Grupo | Postos Empresa | ARSN;6
2021-05-07;ARS Norte;Grupo | Postos Empresa | ARSN;1
2021-05-08;ARS Norte;Grupo | Postos Empresa | ARSN;1
2021-04-26;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-04-30;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);2
2021-05-01;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-05-02;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-05-06;IASAÚDE Madeira;Centro de Saúde Zona Leste (ACES Madeira);1
2021-04-27;IASAÚDE Madeira;Centro de Saúde Zona Oeste (ACES Madeira);2
2021-04-26;IASAÚDE Madeira;Centro de Saúde de Câmara de Lobos (ACES Madeira);1
2021-05-02;IASAÚDE Madeira;Centro de Saúde de Câmara de Lobos (ACES Madeira);1
2021-05-06;IASAÚDE Madeira;Centro de Saúde de Câmara de Lobos (ACES Madeira);2
2021-04-26;IASAÚDE Madeira;Centro de Saúde de Santa Cruz (ACES Madeira);6
2021-04-29;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);5
2021-05-06;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);3
2021-05-09;IASAÚDE Madeira;Centro de Saúde do Funchal Zona I (ACES Madeira);1
2021-05-05;IASAÚDE Madeira;Centro de Saúde do Funchal Zona II (ACES Madeira);5
2021-05-06;IASAÚDE Madeira;Centro de Saúde do Funchal Zona II (ACES Madeira);5
2021-05-10;IASAÚDE Madeira;Centro de Saúde do Funchal Zona II (ACES Madeira);2
2021-05-05;Madeira;Madeira;16
2021-05-10;Madeira;Madeira;15
2021-05-01;SRS Açores;Unidade de Saúde da Ilha de Santa Maria;1
2021-05-09;SRS Açores;Unidade de Saúde da Ilha de Santa Maria;1
2021-04-26;SRS Açores;Unidade de Saúde da Ilha de São Miguel;8
